0,0.788,4.852,10.393,5.542,4.852,0.0
100,0.789,4.852,10.397,5.545,4.852,0.0
200,0.791,4.852,10.397,5.545,4.852,0.0
300,0.791,4.852,10.397,5.545,4.852,-0.0
400,0.789,4.852,10.397,5.545,4.852,-0.0
500,0.789,4.852,10.397,5.545,4.696,0.0
600,0.787,4.852,10.397,5.545,4.438,0.0
700,0.783,4.852,10.397,5.545,4.537,0.0
800,0.784,4.852,10.397,5.545,3.868,0.0
900,0.785,4.852,10.397,5.545,4.082,0.0
1000,0.785,4.852,10.397,5.545,4.408,0.0
1100,0.79,4.852,10.397,5.545,3.425,0.0
1200,0.796,4.852,10.397,5.545,3.308,0.0
1300,0.785,4.852,10.397,5.545,3.391,0.0
1400,0.785,4.852,10.397,5.545,3.781,0.0
1500,0.788,4.852,10.397,5.545,3.165,0.0
1600,0.789,4.852,10.397,5.545,4.292,0.0
1700,0.784,4.852,10.397,5.545,3.959,0.0
1800,0.788,4.852,10.397,5.545,4.852,0.0
1900,0.788,4.852,10.397,5.545,4.852,0.0
2000,0.787,4.852,10.397,5.545,4.852,0.0
2100,0.79,4.852,10.397,5.545,4.852,0.0
2200,0.79,4.852,10.397,5.545,4.852,0.0
2300,0.793,4.852,10.397,5.545,4.852,0.0
2400,0.789,4.852,10.397,5.545,4.852,0.0
2500,0.786,4.852,10.397,5.545,4.852,0.0
2600,0.793,4.852,10.397,5.545,4.852,0.0
2700,0.787,4.852,10.397,5.545,4.852,0.0
2800,0.787,4.852,10.397,5.545,4.852,-0.0
2900,0.784,4.852,10.397,5.545,4.852,0.0
3000,0.786,4.852,10.397,5.545,4.852,0.0
3100,0.789,4.852,10.397,5.545,4.852,0.0
3200,0.788,4.852,10.397,5.545,4.852,-0.0
3300,0.787,4.852,10.397,5.545,4.852,0.0
3400,0.795,4.852,10.397,5.545,4.852,-0.0
3500,0.785,4.852,10.397,5.545,4.852,0.0
3600,0.791,4.852,10.397,5.545,4.852,0.0
3700,0.787,4.852,10.397,5.545,4.852,0.0
3800,0.788,4.852,10.397,5.545,4.852,-0.0
3900,0.785,4.852,10.397,5.545,4.852,0.0
4000,0.79,4.852,10.397,5.545,4.852,0.0
4100,0.788,4.852,10.397,5.545,4.852,0.0
4200,0.791,4.852,10.397,5.545,4.852,0.0
4300,0.782,4.852,10.397,5.545,4.852,0.0
4400,0.794,4.852,10.397,5.545,4.852,0.0
4500,0.787,4.852,10.397,5.545,4.852,0.0
4600,0.783,4.852,10.397,5.545,4.852,0.0
4700,0.785,4.852,10.397,5.545,4.852,0.0
4800,0.788,4.852,10.397,5.545,4.852,0.0
4900,0.792,4.852,10.397,5.545,4.852,0.0
5000,0.788,4.852,10.397,5.545,4.852,0.0
5100,0.785,4.852,10.397,5.545,4.852,0.0
5200,0.784,4.852,10.397,5.545,4.852,0.0
5300,0.789,4.852,10.397,5.545,4.852,0.0
5400,0.788,4.852,10.397,5.545,4.852,0.0
5500,0.787,4.852,10.397,5.545,4.852,0.0
5600,0.786,4.852,10.397,5.545,4.852,0.0
5700,0.786,4.852,10.397,5.545,4.852,0.0
5800,0.794,4.852,10.397,5.545,4.852,0.0
5900,0.789,4.852,10.397,5.545,4.852,0.0
6000,0.788,4.852,10.397,5.545,4.852,0.0
6100,0.788,4.852,10.397,5.545,4.852,0.0
6200,0.789,4.852,10.397,5.545,4.852,-0.0
6300,0.787,4.852,10.397,5.545,4.852,0.0
6400,0.787,4.852,10.397,5.545,4.852,-0.0
6500,0.789,4.852,10.397,5.545,4.852,0.0
6600,0.784,4.852,10.397,5.545,4.852,0.0
6700,0.79,4.852,10.397,5.545,4.852,0.0
6800,0.795,4.852,10.397,5.545,4.852,0.0
6900,0.789,4.852,10.397,5.545,4.852,0.0
7000,0.789,4.852,10.397,5.545,4.852,0.0
7100,0.789,4.852,10.397,5.545,4.852,0.0
7200,0.784,4.852,10.397,5.545,4.852,0.0
7300,0.788,4.852,10.397,5.545,4.852,0.0
7400,0.787,4.852,10.397,5.545,4.852,0.0
7500,0.787,4.852,10.397,5.545,4.852,0.0
7600,0.792,4.852,10.397,5.545,4.852,0.0
7700,0.783,4.852,10.397,5.545,4.852,0.0
7800,0.786,4.852,10.397,5.545,4.852,0.0
7900,0.79,4.852,10.397,5.545,4.852,0.0
8000,0.791,4.852,10.397,5.545,4.852,-0.0
8100,0.796,4.852,10.397,5.545,4.852,0.0
8200,0.784,4.852,10.397,5.545,4.852,0.0
8300,0.792,4.852,10.397,5.545,4.852,0.0
8400,0.789,4.852,10.397,5.545,4.852,0.0
8500,0.779,4.852,10.397,5.545,4.852,0.0
8600,0.785,4.852,10.397,5.545,4.852,0.0
8700,0.787,4.852,10.397,5.545,4.852,0.0
8800,0.79,4.852,10.397,5.545,4.852,-0.0
8900,0.789,4.852,10.397,5.545,4.852,0.0
9000,0.786,4.852,10.397,5.545,4.852,0.0
9100,0.791,4.852,10.397,5.545,4.852,0.0
9200,0.787,4.852,10.397,5.545,4.852,0.0
9300,0.786,4.852,10.397,5.545,4.852,-0.0
9400,0.788,4.852,10.397,5.545,4.852,0.0
9500,0.79,4.852,10.397,5.545,4.852,-0.0
9600,0.786,4.852,10.397,5.545,4.852,-0.0
9700,0.792,4.852,10.397,5.545,4.852,0.0
9800,0.788,4.852,10.397,5.545,4.852,0.0
9900,0.79,4.852,10.397,5.545,4.852,0.0
